fips,population,median_income,business_count
06005,40577,74853,818
06007,213605,66085,4615
06009,45674,77526,948
06011,21811,69619,394
06013,1162648,120020,25202
06015,27462,61149,410
06017,191713,99246,4824
06019,1008280,67756,18199
06021,28657,64033,487
06023,136132,57881,3181
06025,179578,53847,2584
06027,18829,63417,491
06029,906883,63883,13731
06031,152515,68540,1725
06033,68024,56259,1092
06035,31873,59515,397
06037,9936690,83411,297305
06039,157243,73543,2162
06041,260485,142019,10004
06043,17130,60021,320
06045,91145,61335,2437
06047,282290,64772,3340
06049,8651,54962,157
06051,13219,82038,662
06053,437609,91043,8951
06055,137384,105809,4404
06057,102322,79395,3230
06059,3175227,109361,103811
06061,406608,109375,11689
06063,19650,67885,615
06065,2429487,84505,43307
06067,1579211,84010,32196
06069,64753,104451,1047
06071,2180563,77423,39817
06073,3289701,96974,90254
06075,851036,136689,34098
06077,779445,82837,12703
06079,281712,90158,8727
06081,754250,149907,21407
06083,445213,92332,12119
06085,1916831,153792,48749
06087,268571,104409,7078
06089,181852,68347,4516
06091,2916,61108,77
06093,44049,53898,1053
06095,450995,97037,7428
06097,488436,99266,14399
06099,552063,74872,9611
06101,99101,72654,2045
06103,65484,59029,1009
06105,15889,47317,255
06107,473446,64474,6762
06109,54993,70432,1248
06111,842009,102141,22158
06113,217141,85097,4372
06115,81705,66693,835
08001,520149,86297,10886
08003,16460,52271,498
08005,654453,92292,19798
08007,13509,66813,548
08009,3496,42115,82
08011,5561,45776,50
08013,328658,99770,13150
08014,73946,117541,2294
08015,19564,65703,1069
08017,1726,65577,66
08019,9403,87169,329
08021,7553,44093,120
08023,3534,34578,49
08025,5782,40685,45
08027,4885,66250,153
08029,31173,56349,857
08031,710800,85853,27285
08033,2329,64708,63
08035,360206,139010,10209
08037,55650,98887,3651
08039,26457,124360,658
08041,730323,82748,18618
08043,49107,56165,928
08045,61683,82772,2615
08047,5856,95902,133
08049,15724,79367,917
08051,17018,76538,1178
08053,911,58712,73
08055,6896,49631,159
08057,1440,38686,65
08059,580519,103167,17948
08061,1347,45250,37
08063,7039,58992,268
08065,7403,78942,242
08067,55983,81936,2458
08069,359363,87199,11597
08071,14422,48965,357
08073,5583,59167,149
08075,21302,54864,566
08077,156131,68077,4644
08079,794,58929,69
08081,13232,63983,402
08083,26070,61377,771
08085,42823,62817,1418
08087,29045,70471,721
08089,18580,47500,405
08091,4936,78750,323
08093,17597,85019,516
08095,4493,58474,133
08097,17325,96123,1701
08099,11968,49422,329
08101,168135,59436,3257
08103,6511,69882,201
08105,11442,57591,367
08107,24944,95144,1854
08109,6454,51946,138
08111,690,67344,77
08113,8082,72829,696
08115,2391,45855,66
08117,30955,100611,2320
08119,24758,69655,821
08121,4817,59087,114
08123,331466,89182,7001
08125,9938,60118,358
10001,182400,69278,4485
10003,570567,85309,17451
10005,240668,75406,6196
11001,670587,101722,24089
12001,279729,57566,6519
12003,27969,67872,423
12005,181055,65999,4994
12007,27816,54759,440
12009,610723,71308,15040
12011,1940907,70331,67130
12013,13753,41526,187
12015,189900,62164,4310
12017,155173,52569,2900
12019,219650,82242,4267
12021,380221,82011,13545
12023,69832,53501,1454
12027,34258,45000,522
12029,16737,45057,200
12031,995708,65579,27467
12033,321296,61642,7410
12035,117515,69251,2485
12037,12276,58107,309
12039,43746,45721,709
12041,18070,56823,265
12043,12179,37221,118
12045,15002,56250,344
12047,13492,47668,169
12049,25528,44665,412
12051,39902,49259,682
12053,196621,59202,3660
12055,102339,53679,2044
12057,1468560,70612,41388
12059,19529,46063,284
12061,160986,67543,4632
12063,47704,46144,827
12065,14458,51573,282
12067,8107,57852,103
12069,386829,66239,8338
12071,772902,69368,21202
12073,294128,61317,7938
12075,43268,49933,810
12077,7704,51723,93
12079,17986,43386,314
12081,405069,71385,10386
12083,378225,55265,7810
12085,159399,77894,6045
12086,2688237,64215,94579
12087,82044,80111,4010
12089,91538,84085,2072
12091,212021,73988,5796
12093,39870,50476,870
12095,1427403,72629,43195
12097,393745,64312,7722
12099,1494805,76066,53746
12101,569211,63187,11121
12103,959918,66406,31001
12105,736229,60901,13164
12107,73604,44852,1279
